BUY: $100.00 of BTC at $90000.00 on 01-01-2025|08:00. Quantity: 0.001111 BTC
SELL: 0.000833 BTC at $99225.00 on 20-01-2025|12:00. Cash gained: $82.69
BUY: $91.34 of BTC at $93360.00 on 20-01-2025|20:00. Quantity: 0.000978 BTC
BUY: $45.67 of BTC at $93275.00 on 21-01-2025|04:00. Quantity: 0.000490 BTC
BUY: $22.84 of BTC at $90476.00 on 21-01-2025|08:00. Quantity: 0.000252 BTC
BUY: $11.42 of BTC at $93190.00 on 21-01-2025|12:00. Quantity: 0.000123 BTC
BUY: $5.71 of BTC at $90394.00 on 21-01-2025|16:00. Quantity: 0.000063 BTC
BUY: $2.85 of BTC at $87682.00 on 21-01-2025|20:00. Quantity: 0.000033 BTC
BUY: $1.43 of BTC at $85051.00 on 22-01-2025|00:00. Quantity: 0.000017 BTC
BUY: $0.71 of BTC at $82499.00 on 22-01-2025|04:00. Quantity: 0.000009 BTC
BUY: $0.36 of BTC at $80024.00 on 22-01-2025|08:00. Quantity: 0.000004 BTC
BUY: $0.18 of BTC at $82424.00 on 22-01-2025|12:00. Quantity: 0.000002 BTC
BUY: $0.09 of BTC at $84896.00 on 22-01-2025|16:00. Quantity: 0.000001 BTC
BUY: $0.04 of BTC at $82349.00 on 22-01-2025|20:00. Quantity: 0.000001 BTC
BUY: $0.02 of BTC at $84819.00 on 23-01-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.01 of BTC at $87363.00 on 23-01-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.01 of BTC at $89983.00 on 23-01-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $87283.00 on 23-01-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $84664.00 on 23-01-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $87203.00 on 23-01-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $84586.00 on 24-01-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $87123.00 on 24-01-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $84509.00 on 24-01-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $87044.00 on 24-01-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $84432.00 on 24-01-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $81899.00 on 24-01-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $79442.00 on 25-01-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $81825.00 on 25-01-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $79370.00 on 25-01-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $81751.00 on 25-01-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $84203.00 on 25-01-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $86729.00 on 25-01-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $84127.00 on 26-01-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $81603.00 on 26-01-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $79154.00 on 26-01-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $81528.00 on 26-01-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $79082.00 on 26-01-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $76709.00 on 26-01-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $74407.00 on 27-01-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $76639.00 on 27-01-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $78938.00 on 27-01-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $76569.00 on 27-01-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $78866.00 on 27-01-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $81231.00 on 27-01-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $83667.00 on 28-01-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $86177.00 on 28-01-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $88762.00 on 28-01-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $91424.00 on 28-01-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $94166.00 on 28-01-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $91341.00 on 28-01-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $94081.00 on 29-01-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $91258.00 on 29-01-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $93995.00 on 29-01-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $91175.00 on 29-01-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $93910.00 on 29-01-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $91092.00 on 29-01-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $93824.00 on 30-01-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $91009.00 on 30-01-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $88278.00 on 30-01-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $85629.00 on 30-01-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $83060.00 on 30-01-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $80568.00 on 30-01-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $78150.00 on 31-01-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $80494.00 on 31-01-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $78079.00 on 31-01-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $75736.00 on 31-01-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $78008.00 on 31-01-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $75667.00 on 31-01-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $73396.00 on 01-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $71194.00 on 01-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $69058.00 on 01-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $71129.00 on 01-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $73262.00 on 01-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $75459.00 on 01-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $73195.00 on 02-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $75390.00 on 02-02-2025|04:00. Quantity: 0.000000 BTC
